Y	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
4.62	121	96	0	472	138	moyen	51	12	oui	non
5.55	104	100	8	398	97	moyen	61	11	oui	oui
0.16	102	33	0	217	139	moyen	70	18	non	non
8.55	134	107	0	104	108	moyen	60	12	oui	non
3.47	107	79	2	488	103	mauvais	65	16	oui	non
8.98	115	65	0	217	90	moyen	60	17	non	non
9	128	62	7	125	116	moyen	43	14	oui	oui
6.62	132	118	12	272	151	moyen	43	14	oui	oui
6.67	116	99	5	298	125	bon	62	12	oui	oui
6.01	131	29	11	335	127	mauvais	33	12	oui	oui
9.31	122	87	9	17	106	moyen	65	13	oui	oui
8.54	139	35	0	95	129	moyen	42	13	oui	non
5.08	135	75	0	202	128	moyen	80	10	non	non
8.8	145	53	0	507	119	moyen	41	12	oui	non
7.57	112	88	2	243	99	moyen	62	11	oui	oui
7.37	130	94	8	137	128	moyen	64	12	oui	oui
6.87	128	105	11	249	131	moyen	63	13	oui	oui
11.67	125	89	10	380	87	mauvais	28	10	oui	oui
6.88	119	100	5	45	108	moyen	75	10	oui	oui
8.19	127	103	0	125	155	bon	29	15	non	oui
8.87	131	113	0	181	120	bon	63	14	oui	non
9.34	89	78	0	181	49	moyen	43	15	non	non
11.27	153	68	2	60	133	bon	59	16	oui	oui
6.52	125	48	3	192	116	moyen	51	14	oui	oui
4.96	133	100	3	350	126	mauvais	55	13	oui	oui
4.47	143	120	7	279	147	mauvais	40	10	non	oui
8.41	94	84	13	497	77	moyen	51	12	oui	oui
6.5	108	69	3	208	94	moyen	77	16	oui	non
9.54	125	87	9	232	136	bon	72	10	oui	oui
7.62	132	98	2	265	97	mauvais	62	12	oui	oui
3.67	132	31	0	327	131	moyen	76	16	oui	non
6.44	96	94	14	384	120	moyen	36	18	non	oui
5.17	131	75	0	10	120	mauvais	31	18	non	non
6.52	128	42	0	436	118	moyen	80	11	oui	non
10.27	125	103	12	371	109	moyen	44	10	oui	oui
12.3	146	62	10	310	94	moyen	30	13	non	oui
6.03	133	60	10	277	129	moyen	45	18	oui	oui
6.53	140	42	0	331	131	mauvais	28	15	oui	non
7.44	124	84	0	300	104	moyen	77	15	oui	non
0.53	122	88	7	36	159	mauvais	28	17	oui	oui
9.09	132	68	0	264	123	bon	34	11	non	non
8.77	144	63	11	27	117	moyen	47	17	oui	oui
3.9	114	83	0	412	131	mauvais	39	14	oui	non
10.51	140	54	9	402	119	bon	41	16	non	oui
7.56	110	119	0	384	97	moyen	72	14	non	oui
11.48	121	120	13	140	87	moyen	56	11	oui	oui
10.49	122	84	8	176	114	bon	57	10	non	oui
10.77	111	58	17	407	103	bon	75	17	non	oui
7.64	128	78	0	341	128	bon	45	13	non	non
5.93	150	36	7	488	150	moyen	25	17	non	oui
6.89	129	69	10	289	110	moyen	50	16	non	oui
7.71	98	72	0	59	69	moyen	65	16	oui	non
7.49	146	34	0	220	157	bon	51	16	oui	non
10.21	121	58	8	249	90	moyen	48	13	non	oui
12.53	142	90	1	189	112	bon	39	10	non	oui
9.32	119	60	0	372	70	mauvais	30	18	non	non
4.67	111	28	0	486	111	moyen	29	12	non	non
2.93	143	21	5	81	160	moyen	67	12	non	oui
3.63	122	74	0	424	149	moyen	51	13	oui	non
5.68	130	64	0	40	106	mauvais	39	17	non	non
8.22	148	64	0	58	141	moyen	27	13	non	oui
0.37	147	58	7	100	191	mauvais	27	15	oui	oui
6.71	119	67	17	151	137	moyen	55	11	oui	oui
6.71	106	73	0	216	93	moyen	60	13	oui	non
7.3	129	89	0	425	117	moyen	45	10	oui	non
11.48	104	41	15	492	77	bon	73	18	oui	oui
8.01	128	39	12	356	118	moyen	71	10	oui	oui
12.49	93	106	12	416	55	moyen	75	15	oui	oui
9.03	104	102	13	123	110	bon	35	16	oui	oui
6.38	135	91	5	207	128	moyen	66	18	oui	oui
0	139	24	0	358	185	moyen	79	15	non	non
7.54	115	89	0	38	122	moyen	25	12	oui	non
5.61	138	107	9	480	154	moyen	47	11	non	oui
10.48	138	72	0	148	94	moyen	27	17	oui	oui
10.66	104	71	14	89	81	moyen	25	14	non	oui
7.78	144	25	3	70	116	moyen	77	18	oui	oui
4.94	137	112	15	434	149	mauvais	66	13	oui	oui
7.43	121	83	0	79	91	moyen	68	11	oui	non
4.74	137	60	4	230	140	mauvais	25	13	oui	non
5.32	118	74	6	426	102	moyen	80	18	oui	oui
9.95	132	33	7	35	97	moyen	60	11	non	oui
10.07	130	100	11	449	107	moyen	64	10	oui	oui
8.68	120	51	0	93	86	moyen	46	17	non	non
6.03	117	32	0	142	96	mauvais	62	17	oui	non
8.07	116	37	0	426	90	moyen	76	15	oui	non
12.11	118	117	18	509	104	moyen	26	15	non	oui
8.79	130	37	13	297	101	moyen	37	13	non	oui
6.67	156	42	13	170	173	bon	74	14	oui	oui
7.56	108	26	0	408	93	moyen	56	14	non	non
13.28	139	70	7	71	96	bon	61	10	oui	oui
7.23	112	98	18	481	128	moyen	45	11	oui	oui
4.19	117	93	4	420	112	mauvais	66	11	oui	oui
4.1	130	28	6	410	133	mauvais	72	16	oui	oui
2.52	124	61	0	333	138	moyen	76	16	oui	non
3.62	112	80	5	500	128	moyen	69	10	oui	oui
6.42	122	88	5	335	126	moyen	64	14	oui	oui
5.56	144	92	0	349	146	moyen	62	12	non	non
5.94	138	83	0	139	134	moyen	54	18	oui	non
4.1	121	78	4	413	130	mauvais	46	10	non	oui
2.05	131	82	0	132	157	mauvais	25	14	oui	non
8.74	155	80	0	237	124	moyen	37	14	oui	non
5.68	113	22	1	317	132	moyen	28	12	oui	non
4.97	162	67	0	27	160	moyen	77	17	oui	oui
8.19	111	105	0	466	97	mauvais	61	10	non	non
7.78	86	54	0	497	64	mauvais	33	12	oui	non
3.02	98	21	11	326	90	mauvais	76	11	non	oui
4.36	125	41	2	357	123	mauvais	47	14	non	oui
9.39	117	118	14	445	120	moyen	32	15	oui	oui
12.04	145	69	19	501	105	moyen	45	11	oui	oui
8.23	149	84	5	220	139	moyen	33	10	oui	oui
4.83	115	115	3	48	107	moyen	73	18	oui	oui
2.34	116	83	15	170	144	mauvais	71	11	oui	oui
5.73	141	33	0	243	144	moyen	34	17	oui	non
4.34	106	44	0	481	111	moyen	70	14	non	non
9.7	138	61	12	156	120	moyen	25	14	oui	oui
10.62	116	79	19	359	116	bon	58	17	oui	oui
10.59	131	120	15	262	124	moyen	30	10	oui	oui
6.43	124	44	0	125	107	moyen	80	11	oui	non
7.49	136	119	6	178	145	moyen	35	13	oui	oui
3.45	110	45	9	276	125	moyen	62	14	oui	oui
4.1	134	82	0	464	141	moyen	48	13	non	non
6.68	107	25	0	412	82	mauvais	36	14	oui	non
7.8	119	33	0	245	122	bon	56	14	oui	non
8.69	113	64	10	68	101	moyen	57	16	oui	oui
5.4	149	73	13	381	163	mauvais	26	11	non	oui
11.19	98	104	0	404	72	moyen	27	18	non	non
5.16	115	60	0	119	114	mauvais	38	14	non	non
8.09	132	69	0	123	122	moyen	27	11	non	non
13.14	137	80	10	24	105	bon	61	15	oui	oui
8.65	123	76	18	218	120	moyen	29	14	non	oui
9.43	115	62	11	289	129	bon	56	16	non	oui
5.53	126	32	8	95	132	moyen	50	17	oui	oui
9.32	141	34	16	361	108	moyen	69	10	oui	oui
9.62	151	28	8	499	135	moyen	48	10	oui	oui
7.36	121	24	0	200	133	bon	73	13	oui	non
3.89	123	105	0	149	118	mauvais	62	16	oui	oui
10.31	159	80	0	362	121	moyen	26	18	oui	non
12.01	136	63	0	160	94	moyen	38	12	oui	non
4.68	124	46	0	199	135	moyen	52	14	non	non
7.82	124	25	13	87	110	moyen	57	10	oui	oui
8.78	130	30	0	391	100	moyen	26	18	oui	non
10	114	43	0	199	88	bon	57	10	non	oui
6.9	120	56	20	266	90	mauvais	78	18	oui	oui
5.04	123	114	0	298	151	mauvais	34	16	oui	non
5.36	111	52	0	12	101	moyen	61	11	oui	oui
5.05	125	67	0	86	117	mauvais	65	11	oui	non
9.16	137	105	10	435	156	bon	72	14	oui	oui
3.72	139	111	5	310	132	mauvais	62	13	oui	oui
8.31	133	97	0	70	117	moyen	32	16	oui	non
5.64	124	24	5	288	122	moyen	57	12	non	oui
9.58	108	104	23	353	129	bon	37	17	oui	oui
7.71	123	81	8	198	81	mauvais	80	15	oui	oui
4.2	147	40	0	277	144	moyen	73	10	oui	non
8.67	125	62	14	477	112	moyen	80	13	oui	oui
3.47	108	38	0	251	81	mauvais	72	14	non	non
5.12	123	36	10	467	100	mauvais	74	11	non	oui
7.67	129	117	8	400	101	mauvais	36	10	oui	oui
5.71	121	42	4	188	118	moyen	54	15	oui	oui
6.37	120	77	15	86	132	moyen	48	18	oui	oui
7.77	116	26	6	434	115	moyen	25	17	oui	oui
6.95	128	29	5	324	159	bon	31	15	oui	oui
5.31	130	35	10	402	129	mauvais	39	17	oui	oui
9.1	128	93	12	343	112	bon	73	17	non	oui
5.83	134	82	7	473	112	mauvais	51	12	non	oui
6.53	123	57	0	66	105	moyen	39	11	oui	non
5.01	159	69	0	438	166	moyen	46	17	oui	non
11.99	119	26	0	284	89	bon	26	10	oui	non
4.55	111	56	0	504	110	moyen	62	16	oui	non
12.98	113	33	0	14	63	bon	38	12	oui	non
10.04	116	106	8	244	86	moyen	58	12	oui	oui
7.22	135	93	2	67	119	moyen	34	11	oui	oui
6.67	107	119	11	210	132	moyen	53	11	oui	oui
6.93	135	69	14	296	130	moyen	73	15	oui	oui
7.8	136	48	12	326	125	moyen	36	16	oui	oui
7.22	114	113	2	129	151	bon	40	15	non	oui
3.42	141	57	13	376	158	moyen	64	18	oui	oui
2.86	121	86	10	496	145	mauvais	51	10	oui	oui
11.19	122	69	7	303	105	bon	45	16	non	oui
7.74	150	96	0	80	154	bon	61	11	oui	non
5.36	135	110	0	112	117	moyen	80	16	non	non
6.97	106	46	11	414	96	mauvais	79	17	non	non
7.6	146	26	11	261	131	moyen	39	10	oui	oui
7.53	117	118	11	429	113	moyen	67	18	non	oui
6.88	95	44	4	208	72	mauvais	44	17	oui	oui
6.98	116	40	0	74	97	moyen	76	15	non	non
8.75	143	77	25	448	156	moyen	43	17	oui	oui
9.49	107	111	14	400	103	moyen	41	11	non	oui
6.64	118	70	0	106	89	mauvais	39	17	oui	non
11.82	113	66	16	322	74	bon	76	15	oui	oui
11.28	123	84	0	74	89	bon	59	10	oui	non
12.66	148	76	3	126	99	bon	60	11	oui	oui
4.21	118	35	14	502	137	moyen	79	10	non	oui
8.21	127	44	13	160	123	bon	63	18	oui	oui
3.07	118	83	13	276	104	mauvais	75	10	oui	oui
10.98	148	63	0	312	130	bon	63	15	oui	non
9.4	135	40	17	497	96	moyen	54	17	non	oui
8.57	116	78	1	158	99	moyen	45	11	oui	oui
7.41	99	93	0	198	87	moyen	57	16	oui	oui
5.28	108	77	13	388	110	mauvais	74	14	oui	oui
10.01	133	52	16	290	99	moyen	43	11	oui	oui
11.93	123	98	12	408	134	bon	29	10	oui	oui
8.03	115	29	26	394	132	moyen	33	13	oui	oui
4.78	131	32	1	85	133	moyen	48	12	oui	oui
5.9	138	92	0	13	120	mauvais	61	12	oui	non
9.24	126	80	19	436	126	moyen	52	10	oui	oui
11.18	131	111	13	33	80	mauvais	68	18	oui	oui
9.53	175	65	29	419	166	moyen	53	12	oui	oui
6.15	146	68	12	328	132	mauvais	51	14	oui	oui
6.8	137	117	5	337	135	mauvais	38	10	oui	oui
9.33	103	81	3	491	54	moyen	66	13	oui	non
7.72	133	33	10	333	129	bon	71	14	oui	oui
6.39	131	21	8	220	171	bon	29	14	oui	oui
15.63	122	36	5	369	72	bon	35	10	oui	oui
6.41	142	30	0	472	136	bon	80	15	non	non
10.08	116	72	10	456	130	bon	41	14	non	oui
6.97	127	45	19	459	129	moyen	57	11	non	oui
5.86	136	70	12	171	152	moyen	44	18	oui	oui
7.52	123	39	5	499	98	moyen	34	15	oui	non
9.16	140	50	10	300	139	bon	60	15	oui	oui
10.36	107	105	18	428	103	moyen	34	12	oui	oui
2.66	136	65	4	133	150	mauvais	53	13	oui	oui
11.7	144	69	11	131	104	moyen	47	11	oui	oui
4.69	133	30	0	152	122	moyen	53	17	oui	non
6.23	112	38	17	316	104	moyen	80	16	oui	oui
3.15	117	66	1	65	111	mauvais	55	11	oui	oui
11.27	100	54	9	433	89	bon	45	12	oui	oui
4.99	122	59	0	501	112	mauvais	32	14	non	non
10.1	135	63	15	213	134	moyen	32	10	oui	oui
5.74	106	33	20	354	104	moyen	61	12	oui	oui
5.87	136	60	7	303	147	moyen	41	10	oui	oui
7.63	93	117	9	489	83	mauvais	42	13	oui	oui
6.18	120	70	15	464	110	moyen	72	15	oui	oui
5.17	138	35	6	60	143	mauvais	28	18	oui	non
8.61	130	38	0	283	102	moyen	80	15	oui	non
5.97	112	24	0	164	101	moyen	45	11	oui	non
11.54	134	44	4	219	126	bon	44	15	oui	oui
7.5	140	29	0	105	91	mauvais	43	16	oui	non
7.38	98	120	0	268	93	moyen	72	10	non	non
7.81	137	102	13	422	118	moyen	71	10	non	oui
5.99	117	42	10	371	121	mauvais	26	14	oui	oui
8.43	138	80	0	108	126	bon	70	13	non	oui
4.81	121	68	0	279	149	bon	79	12	oui	non
8.97	132	107	0	144	125	moyen	33	13	non	non
6.88	96	39	0	161	112	bon	27	14	non	non
12.57	132	102	20	459	107	bon	49	11	oui	oui
9.32	134	27	18	467	96	moyen	49	14	non	oui
8.64	111	101	17	266	91	moyen	63	17	non	oui
10.44	124	115	16	458	105	moyen	62	16	non	oui
13.44	133	103	14	288	122	bon	61	17	oui	oui
9.45	107	67	12	430	92	moyen	35	12	non	oui
5.3	133	31	1	80	145	moyen	42	18	oui	oui
7.02	130	100	0	306	146	bon	42	11	oui	non
3.58	142	109	0	111	164	bon	72	12	oui	non
13.36	103	73	3	276	72	moyen	34	15	oui	oui
4.17	123	96	10	71	118	mauvais	69	11	oui	oui
3.13	130	62	11	396	130	mauvais	66	14	oui	oui
8.77	118	86	7	265	114	bon	52	15	non	oui
8.68	131	25	10	183	104	moyen	56	15	non	oui
5.25	131	55	0	26	110	mauvais	79	12	oui	oui
10.26	111	75	1	377	108	bon	25	12	oui	non
10.5	122	21	16	488	131	bon	30	14	oui	oui
6.53	154	30	0	122	162	moyen	57	17	non	non
5.98	124	56	11	447	134	moyen	53	12	non	oui
14.37	95	106	0	256	53	bon	52	17	oui	non
10.71	109	22	10	348	79	bon	74	14	non	oui
10.26	135	100	22	463	122	moyen	36	14	oui	oui
7.68	126	41	22	403	119	mauvais	42	12	oui	oui
9.08	152	81	0	191	126	moyen	54	16	oui	non
7.8	121	50	0	508	98	moyen	65	11	non	non
5.58	137	71	0	402	116	moyen	78	17	oui	non
9.44	131	47	7	90	118	moyen	47	12	oui	oui
7.9	132	46	4	206	124	moyen	73	11	oui	non
16.27	141	60	19	319	92	bon	44	11	oui	oui
6.81	132	61	0	263	125	moyen	41	12	non	non
6.11	133	88	3	105	119	moyen	79	12	oui	oui
5.81	125	111	0	404	107	mauvais	54	15	oui	non
9.64	106	64	10	17	89	moyen	68	17	oui	oui
3.9	124	65	21	496	151	mauvais	77	13	oui	oui
4.95	121	28	19	315	121	moyen	66	14	oui	oui
9.35	98	117	0	76	68	moyen	63	10	oui	non
12.85	123	37	15	348	112	bon	28	12	oui	oui
5.87	131	73	13	455	132	moyen	62	17	oui	oui
5.32	152	116	0	170	160	moyen	39	16	oui	non
8.67	142	73	14	238	115	moyen	73	14	non	oui
8.14	135	89	11	245	78	mauvais	79	16	oui	oui
8.44	128	42	8	328	107	moyen	35	12	oui	oui
5.47	108	75	9	61	111	moyen	67	12	oui	oui
6.1	153	63	0	49	124	mauvais	56	16	oui	non
4.53	129	42	13	315	130	mauvais	34	13	oui	oui
5.57	109	51	10	26	120	moyen	30	17	non	oui
5.35	130	58	19	366	139	mauvais	33	16	oui	oui
12.57	138	108	17	203	128	bon	33	14	oui	oui
6.14	139	23	3	37	120	moyen	55	11	non	oui
7.41	162	26	12	368	159	moyen	40	18	oui	oui
5.94	100	79	7	284	95	mauvais	50	12	oui	oui
9.71	134	37	0	27	120	bon	49	16	oui	oui
